ID_RSSD,predicted_lifespan,exists
5726499,2.1552817704768428,1
2623430,2.4857768651608567,1
457798,1.555285377486599,1
5792805,1.8317316906228696,1
5036385,1.5030800821355155,1
5756441,2.183554642938616,1
4022448,1.7394934976043785,1
3517031,1.5906913073237547,1
5730405,1.3276842345425464,0
5858149,1.7741273100616035,1
203650,1.6476020990189448,1
767974,1.4291581108829527,1
5726734,1.893613369113709,1
5759992,2.0869632671686094,1
5786532,1.8747980835044409,1
2564449,2.215195071868575,0
5835926,2.412372985090305,1
5837706,1.4674058863791857,1
2177317,2.5051334702258896,1
2203298,1.4401095140314781,1
2070502,1.6755646817248393,1
425797,1.839096509240247,1
3142862,2.3152908966461245,1
5730414,1.3134531143052657,0
1724880,2.165001140771175,1
4329071,2.0711841204654355,1
5724749,2.3920054757015694,1
5813296,1.6208076659822128,1
130813,1.6757107004334861,1
5788844,1.8453114305270377,1
5782132,2.0244672598676714,1
2148607,1.4291581108829527,1
5813269,1.5109377138945832,1
3723337,1.5030800821355155,1
5746068,2.1848505589778715,0
5538218,2.1821857175450665,1
5808162,1.7168697239333706,1
5694105,2.4867081183070296,1
32131,1.6904585900068456,1
5839821,1.3552270134611015,1
243197,1.76966461327858,1
5798768,1.7461921058635752,1
3429059,1.6509422769792261,1
3513761,1.4291581108829527,1
760407,2.340807665982202,1
5555082,1.5852156057494962,1
4637664,1.9838831850330814,1
5724262,2.366071944634571,1
2708560,2.41408167921514,1
5840573,1.6143645904631534,1
1190074,2.341545060460875,1
4495565,2.3408624229979376,1
5742921,1.4056472364778672,1
6897,1.6480584074834566,1
3202944,1.86642026009583,1
3538616,1.7467853068674333,1
727969,1.5030800821355155,1
5798713,1.8453114305270377,1
138163,1.4291581108829527,1
5742190,1.4056472364778672,1
5727366,2.431174994296148,1
5680966,2.1525391582100832,1
5833726,1.5277207392197163,1
5785272,1.9314807209673714,1
1446931,2.1136208076659817,1
4159803,1.6755646817248393,1
5683734,1.9896783025325215,1
2632263,2.155079169518588,1
782267,1.5030800821355155,1
188542,2.2063791923340093,1
5758632,2.143645904631531,1
2858399,1.6701254848277367,1
5786484,1.5021492128678922,1
5042180,1.289409080538441,1
5743067,1.4056472364778672,1
3754395,2.3641797855350357,1
5836482,0.5280949121606201,0
5737066,1.4056472364778672,1
5785414,1.9849418206707703,1
472643,1.3689253935660448,1
5826380,2.1341991706673364,1
346061,1.5030800821355155,1
5758409,2.019849418206708,1
5718814,2.4968469085101623,1
3421772,1.8426192105863577,1
5788796,1.8644763860369664,1
2798196,1.4291581108829527,1
1431030,2.5051334702258896,1
5730898,1.4056472364778672,1
5189544,1.6755646817248393,1
1098161,2.381857175450604,1
449430,2.489372575861274,1
5838422,1.8534702258726838,1
2169947,1.9047334681188144,0
5842308,1.5906913073237547,1
5836174,1.48939082819987,1
3338704,1.7665890942276876,0
565844,2.1382432124115796,1
4494278,2.1400866986082505,1
608451,1.2320328542094405,1
4278115,1.4291581108829527,1
133074,2.094565366187544,1
4495761,2.340816792151485,1
5825815,2.2572028291124715,1
5764615,2.0165001140771155,1
1728244,2.2142459502623706,1
801373,1.6455285898981948,1
2077686,2.4491079169518493,1
5196186,1.520757472051112,1
809557,1.5030435774583537,1
378044,12.511567419575597,1
5290758,4.559333789641823,0
96254,2.0403680888280484,0
904452,1.5030800821355155,1
585552,1.5030800821355155,1
5792001,1.857942048825005,1
5741924,1.4056472364778672,1
5791956,1.784278507509164,1
1717574,1.262149212867897,1
5789047,1.7314077116130522,1
5787427,1.8343782797170907,1
5851207,1.3388090349075876,1
971717,1.7245630846452238,1
2250489,1.262149212867897,1
5830305,1.6153319644079296,1
5798740,1.7461921058635752,1
520441,2.3499977184576926,1
5792056,1.928012776637001,1
4124397,2.281131644992011,1
518877,2.2518640200775737,1
5728037,2.316230892083047,1
5772665,2.21771845767739,1
1725962,1.254966917636323,1
5728934,2.0614647501711163,1
2339900,1.6700889801505812,1
3551503,1.503874058863784,1
5785115,1.8945379876796578,1
3937451,1.314204882500578,1
5753075,2.1938672142368274,1
5833865,1.7869169844529094,1
5825824,2.323604836869715,1
2979557,1.5222267853068745,1
5855036,1.248761122518827,1
1377530,1.7203559206023216,1
5812310,1.6235455167693424,1
2859220,1.4291581108829527,1
5785599,2.0679641037341283,1
2907439,1.9013369838010503,1
5728587,2.4175313712069326,1
4893040,2.2525302304357764,1
576729,1.5934291581108908,1
3741032,1.7889938398357181,1
3984950,1.684097650011411,1
5733358,2.423098334474099,1
5783353,1.953000228154234,1
775773,4.185279488934509,1
5377109,1.5934291581108908,1
103965,2.2285922883869436,1
3928963,1.5934291581108908,1
5213506,1.5140314852840628,1
5695072,2.5391649555099334,1
5825132,1.5277207392197163,1
5830378,1.6618754277891945,1
5301654,2.4633447410449536,1
4494232,2.340871549167228,1
5759200,1.5084371435090043,1
537038,2.501428245493947,1
5727405,2.3503901437371675,1
